leadId,companyName,region,city,cig,amount,object,category,awardDate,officialSource,winnerIdentified,phone,email,website,actionable,tier,insuranceNeed,estimateKind,reviewer,reviewed_at,notes
cmqi64p8m001m2qzyk2v53xl3,SITE S.R.L.,Campania,,9340407BAF,7069184.34,COMPRENSORIO DEPURATIVO FOCE SARNO INT 72I6 - OPERE DI COMPLETAMENTO DELLA RETE FOGNARIA DEL COMUNE DI GRAGNANO COMPRENSIVO DEL COMPLETAMENTO,NON_CLASSIFICATO,,True,True,081 7340325,,http://environet.biz/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqtf1vaf0000kpvxhihq5n1j,SIEMENS HEALTHCARE S.R.L.,Campania,BENEVENTO,9772024150,6419970.0,"FORNITURA DI IMPIANTO CORELAB AD ALTA AUTOMAZIONE, DEI RELATIVI ACCESSORI, DEI SERVIZI CONNESSI, DI REAGENTI E KIT DIAGNOSTICI DA DESTINARE ALL'U.O.C. DI PATOLOGIA CLINICA",GARE_HIGH,2024-02-05,True,True,02 2431,,https://www.siemens.com/it/it.html?stc=wwsi122500,True,HIGH,WEAKLY_INFERRED,ESTIMATE,,,
cmqi64p5k000b2qzy9ddau8kj,DM TECHNOLOGY,Campania,,9200141487,6017163.15,GESTIONE DEL SERVIZIO INTEGRATO DEI RIFIUTI SOLIDI URBANI E ASSIMILATI ED IGIENE URBANA PER ANNI CINQUE,NON_CLASSIFICATO,,True,True,,,http://www.dmtsrl.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p9h00212qzy9e6obdvk,GRADED S.P.A.,Campania,,9382711A0D,6011486.63,"GARA EUROPEA A PROCEDURA APERTA PER L'APPALTO DEI LAVORI DI RISTRUTTURAZIONE, RIQUALIFICAZIONE E RIFUNZIONAMENTO PER LA REALIZZAZIONE DI UN CENTRO PER ATTIVITÀ DI RICERCA, TRASFERIMENTO TECNOLOGICO, A",NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p7n00172qzy0hb2iu4z,ARCHIVOLTO S.R.L.,Campania,CASALNUOVO DI NAPOLI,9243369D64,5598686.5,"'D.L. 59/2021 - FONDO COMPLEMENTARE AL PNRR-PROGRAMMA SICURO, VERDE E SOCIALE - RIQUALIFICAZIONE EDILIZIA RESIDENZIALE PUBBLICA AREA L.219/81' - APPALTO INTEGRATO DI PROGETTAZIONE ESECUTIVA/CSP - LAVO",GARE_MEDIUM,,True,True,+39 815 700 0790,,http://archivoltosrl.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p5v000g2qzy7p62nf8z,ALSCO ITALIA SRL,Campania,NAPOLI,9343087F49,5017248.65,"PROCEDURA APERTA 489/ACU/2022- SERVIZIO DI NOLEGGIO, LAVAGGIO, MANUTENZIONE E REINTEGRO VESTIARIO AD ALTA VISIBILITÀ E DA LAVORO, DERIVANTE DA PROCESSI DI PRODUZIONE A BASSO IMPATTO AMBIENTALE",GARE_MEDIUM,,True,True,0289 400523,,http://www.alsco.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p7m00162qzyymu1ssy1,IRPINIA PIETRE S.P.A.,Campania,,920093321C,4704142.85,LAVORI DI RIQUALIFICAZIONE AREA DI CAVA EX D'AGOSTINO - I LOTTO.,NON_CLASSIFICATO,,True,True,0825 624492,,http://www.irpiniarecuperi.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pdd003y2qzyp7d5rhqk,BAXTER S.P.A.,Campania,,9341108E2A,3718520.0,AQ DIALISI 4 - LOTTO 2 - SUB-LOTTO 2.1 - I AGGIUDICATARIO,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p8f001i2qzyg6jbisvu,I.N.C.O. S.R.L.,Campania,,93305082C8,3693535.0,"NOLO A FREDDO SENZA CONDUCENTE, PER UN PERIODODI 60 (SESSANTA) MESI, DI 16 (SEDICI) AUTOMEZZI",NON_CLASSIFICATO,,True,True,081 8359453,,http://www.inco-srl.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p6u000w2qzyuhd1qufs,CIR FOOD S.C.,Campania,,9272640897,3667537.5,PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI REFEZIONE SCOLASTICA BIOLOGICA E SOSTENIBILE NELLE SCUOLE DEL TERRITORIO COMUNALE - TRIENNIO SCOLASTICO 2022/2023 -2023/2024 - 2024/2025,NON_CLASSIFICATO,,True,True,,,https://support.google.com/local-guides?p=maps_policies,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64plh007k2qzybuin1wbs,HERA COMM S.P.A.,Campania,,92647888EA,3536713.59,ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 19 LOTTO 13,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p6g000r2qzysdb1lwag,ANGELONI ANGELO S.R.L.,Campania,,9321484BEE,3481314.97,"LAVORI DI MANUTENZIONE ORDINARIA E STRAORDINARIA DEL PATRIMONIO VERDE DEL PARCO ARCHEOLOGICO DI POMPEI. INTERVENTI SULLE AREE VERDI, I GIARDINI STORICI E STORICIZZATI, IL PATRIMONIO ARBOREO E ARBUSTIV",NON_CLASSIFICATO,,True,True,0665 025637,,https://www.angeloniangelo.com/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p5q000e2qzyome73l06,ROMEO GESTIONI S.P.A.,Campania,,933698214C,3228286.22,SERVIZIO DI GUARDIANIA NON ARMATA NELL'AMBITO PORTUALE DI NAPOLI,NON_CLASSIFICATO,,True,True,0632 876111,,https://www.romeogestioni.com/gestioni/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p7p00182qzy1sytmnpv,CO.GE.PA. COSTRUZIONI GENERALI PASSARELLI S.P.A.,Campania,,9152560372,3056905.0,P.O. S. PAOLO - ACCORDO DI PROGRAMMA PER GLI INVESTIMENTI DEL 16/02/2018 PROGRAMMA ART. 20 L. 67/88 - LAVORI DI ADEGUAMENTO NORMATIVO,NON_CLASSIFICATO,,True,True,081 7703036,,http://www.cogepaspa.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p63000k2qzy0wuvkedh,VELIA AMBIENTE S.R.L.,Campania,,9408285A62,2915384.4,GARA 492/ACU/2022 SERVIZIO RACCOLTA CARTONI,NON_CLASSIFICATO,,True,True,081 8599514,,https://www.veliaambiente.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pdf003z2qzykfie3oit,BAXTER S.P.A.,Campania,,934117122B,2832875.0,AQ DIALISI 4 - LOTTO 2 - SUB-LOTTO 2.2 - I AGGIUDICATARIO,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64phz00602qzyhkwx3f0k,RDR SRL,Campania,,921764514A,2504267.92,COD. INT.7322 - COMPRENSORIO DEPURATIVO MEDIO SARNO SUB 4. IMPIANTO DI DEPURAZIONE DI NOCERA SUPERIORE. PROGETTO DI ADEGUAMENTO,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pac002g2qzy1cdg835y,HELIOS LIFE SRL,Campania,,9320946FF4,2500505.91,LAVORI DI ADEGUAMENTO DEGLI IMPIANTI MECCANICI DEL PARCHEGGIO PUBBLICO IN ROCCIA DENOMINATO 'LUNAROSSA' IN AMALFI (SA),NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p9p00242qzy0g4zhmht,GLM RISTORAZIONE SRL,Campania,CASTELLAMMARE DI STABIA,9327745AAC,2310120.0,AFFIDAMENTO SERVIZIO DI REFEZIONE SCOLASTICA TRIENNALE,GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pbg00312qzyjgdbpzi2,09109161217,Campania,NAPOLI,92477604F8,2290763.92,"PROCEDURA APERTA, DI RILEVANZA EUROPEA, AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016, PER L'AFFIDAMENTO DEL SERVIZIO DI INGEGNERIA ED ARCHITETTURA RELATIVO ALLE ATTIVITÀ DI RILIEVO ED INDAGINI (GEOLOGICHE",GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pdh00402qzycr1w2dfk,BERICAH S.P.A.,Campania,,9380036A92,2281600.0,ADESIONE ALLA CONVENZIONE SORESA GUANTI BERICAH LOTTO 37,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64plb007h2qzykju08whq,BOSTON SCIENTIFIC S.P.A.,Campania,,93198095AF,2261000.0,BOSTON SCIENTIFIC S.P.A.,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p6s000v2qzyv2za3d2d,ROMANO COSTRUZIONI SRL,Campania,,9355353984,2200000.0,ACCORDO QUADRO INTERVENTI DI ADEGUAMENTO STRUTTURALE VARI EDIFICI A SEGUITO DI VERIFICA DI VULNERABILITÀ SISMICA E INDAGINI SOLAI SU EDIFICI SCOLASTICI DI COMPETENZA DELLA CITTÀ METROPOLITANA DI NAPOL,NON_CLASSIFICATO,,True,True,081 8423677,,http://www.romanocostruzionisrl.com/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pe000492qzy151t19e6,EDIL GEO SNC,Campania,,93703934EC,2074648.91,LAVORI PER LA DEMOLIZIONE E RICOSTRUZIONE DEGLI EDIFICI ERP SITI IN VIA FRANCESCO TEDESCO NELLA CITTA' DI AVELLINO,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64ppb009b2qzyxqmcp4kf,ALMAWAVE S.P.A.,Campania,NAPOLI,92643141C4,1997460.68,SERVIZI TELEMEDICINA SPECIALIZZATA,GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p5x000h2qzya3k9e3zs,MIORELLI SERVICE S.P.A A SOCIO UNICO,Campania,,94031740AA,1994400.0,PROCEDURA TELEMATICA APERTA PER IL SERVIZIO DI PULIZIA AGLI IMMOBILI DELL'ATENEO,NON_CLASSIFICATO,,True,True,0620 979050,,http://www.miorelliservice.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pjt006q2qzyjvvpoyed,SEQIRUS S.R.L.,Campania,,9349170B24,1950000.0,III APPALTO SPECIFICO PER LA FORNITURA DI 'VACCINI ANTINFLUENZALI ED ALTRI VACCINI AD USO UMANO' -DITTA SEQIRUS SRL LOTTO 3),NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pl4007c2qzyvn5smuis,BOSTON SCIENTIFIC S.P.A.,Campania,,9300651401,1869000.0,1^ BOSTON SCIENTIFIC S.P.A.,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p4w00012qzy00vc6kkj,SCOGNAMIGLIO SRL,Campania,,939821003E,1750195.0,FORNITURA IN SERVICE QUINQUENNALE DI SISTEMI INFUSIONALI DA DESTINARE A VARIE UU.OO. DELL'AZIENDA OSPEDALIERA SAN GIUSEPPE MOSCATI DI AVELLINO,NON_CLASSIFICATO,,True,True,081 666752,,http://www.scognamiglio.napoli.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqtf1ve7001hkpvxmnbdn627,SERVECO SRL,Campania,NOLA,9818492BE8,1684514.06,BONIFICA DA AMIANTO DI PIATTAFORME E COMPLESSIVI LEOPARD,GARE_MEDIUM,2024-11-19,True,True,393 302 5590,,https://www.servecosrl.com/,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,,,
cmqi64p90001s2qzyy0t812nl,NAPOLI MATTEO APPALTI E COSTRUZIONI SRL,Campania,BARONISSI,9161526A6A,1615500.0,INTERVENTI DI MANUTENZIONE ORDINARIA E STRAORDINARIA DEL PATRIMONIO COMUNALE E DEI SERVIZI CIMITERIALI CON GUARDIANIA E DI PULIZIA,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p9n00232qzyelkanedn,DARF S.R.L.,Campania,,9400495DDE,1500000.0,"LAVORI DI PRONTO INTERVENTO, MANUTENZIONE E RIABILITAZIONE DELLA RETE IDRICA NELL'AMBITO DEL SERVIZIO IDRICO INTEGRATO DEL COMUNE DI SALERNO - LOTTO 1",NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pkp00742qzyzpl4xeod,CO.GE.PI. COSTRUZIONI GENERALI PIEMONTE,Campania,,A0698FDCE6,1500000.0,ATNEO. 2205L - LOTTO 4 - LAVORI DI MANUTENZIONE EDILE ED IMPIANTISTICA IMMOBILI DI COMPETENZA DELL'UFFICIO TECNICO UTCC,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p7500112qzydddjwbr5,CONSORZIO PROGETTO MULTISERVIZI - CONSORZIO STABI,Campania,,92225755A6,1448006.4,SERVIZIO QUINQUENNALE DI LOGISTICA E TRASPORTO E GESTIONE DELLA SALMA NELLA CAMERA MORTUARIA PROROGABILE PER ULTERIORI 24 MESI,NON_CLASSIFICATO,,True,True,081 942535,,https://cpm-online.it/,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p9x00282qzy8f9dnd4k,LIFE TECHNOLOGIES EUROPE B.V.,Campania,,9326645EEB,1199984.55,FORNITURA DI KIT DIAGNOSTICI E CONSUMABILI PER PREPARAZIONE LIBRERIE NGS (NEXT GENERATION SEQUENCING) COMPATIBILI CON L'ATTUALE DOTAZIONE AZIENDALE,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pl6007d2qzy99mkhytq,CONSORZIO STABILE DEL MEDITERRANEO SCARL,Campania,,A05E526453,1187154.93,LAVORI DI MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI ELETTRICI INTERNI ED ESTERNI NONCHÉ DEL SERVIZIO DI VERIFICA DELLA EFFICIENZA E DELLA SICUREZZA DI CUI ALLA L. 37/08 DEGLI IMPIANTI ELET,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pih00682qzyeoh1prx2,FENIX CONSORZIO STABILE SCARL,Campania,,9214224A2E,1059237.77,LAVORI DI COMPLETAMENTO IMMOBILE EX CASERMA GUIDONI,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pns008o2qzyic4rrw8d,EDIL-G.F. DI GRANATA FRANCESCO,Campania,FISCIANO,908246600D,1037706.18,ADEGUAMENTO SISTEMI DI ILLUMINAZIONE INTERNA AGLI EDIFICI - CAMPUS DI FISCIANO E BARONISSI,GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64ppf009c2qzymiub4m8a,ATLANTE S.C.P.A.,Campania,TORRE DEL GRECO,94580104C2,1015405.55,LAVORI DI COMPLETAMENTO DEI LOCALI A RUSTICO DEL P.O. DI BOSCOTRECASE PER LA REALIZZAZIONE DI N.20 POSTI LETTO DI TERAPIA SEMI-INTENSIVA,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pjv006r2qzyx9t38pbt,GLAXOSMITHKLINE,Campania,,93490876A7,996600.0,III APPALTO SPECIFICO PER LA FORNITURA DI 'VACCINI ANTINFLUENZALI ED ALTRI VACCINI AD USO UMANO' -DITTA GLAXOSMITHKLINE SPA LOTTO 6),NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
