id,CIG,oggetto,vincitore,regione,stazione_appaltante,data,importo,contract_type,category,tier,score,cauzione,cauzione_tipo,insurance_need_status,origin,region_match_via,motivazione,reviewer,reviewed_at,winner_correct,award_status_correct,amount_correct,commercial_value_real,false_positive,false_negative,notes
cmqi64p9r00252qzypi7bma21,9393263DD5,"AFFIDAMENTO PROGETTO DEFINITIVO ED ESECUTIVO PER LA RISTRUTTURAZIONE E RIFUNZIONALIZZAZIONE DELL'EX EDIFICIO DELLE POSTE, VILLA COMUNALE, NAPOLI, PER OSPITARE L",STUDIO BATTISTA ASSOCIATI,Campania,STAZIONE ZOOLOGICA A. DOHRN NAPOLI,,75006.8,NON_CLASSIFICATO,GARE_LOW,LOW,23,7501,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64po4008u2qzy8l2mow9h,9311905B17,"PROCEDURA APERTA FORNITURA QUADRIENNALE AGHI, SIRINGHE, AGHI CANNULA E AGHI PER ANESTESIA - DETERMINA D.G. SORESA N. 5 DEL 14/1/2022 - DITTA FARMAC ZABBAN SPA",FARMACEUTICI - MEDICAZIONE - ARTICOLI CHIRURGICI -*FARMAC - ZABBAN S.P.A.,Campania,AZIENDA SANITARIA LOCALE,,189486.2,FORNITURE,GARE_LOW,LOW,23,18949,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pjd006l2qzyf6sjpx03,9306637FCB,LAVORI DI MANUTENZIONE ORDINARIA DEGLI EDIFICI SCOLASTICI DI COMPETENZA DELLA II MUNICIPALITÀ - ANNO 2022,ANGROS LAVORI S.R.L.,Campania,COMUNE DI NAPOLI,,133050.48,MISTO,GARE_LOW,LOW,23,13305,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pdb003x2qzy4x0cko3b,940796959E,"REALIZZAZIONE DI UNA MENSA SCOLASTICA A SERVIZIO DELLA SCUOLA DELL'INFANZIA 'I.C. LUDWIG VAN BEETHOVEN - AFFIDAMENTO PROGETTAZIONE DEFINITIVA-ESECUTIVA, DIREZIO",MIRAGLIA GIUSEPPE,Campania,COMUNE DI CASLUCE,,19061.6,MISTO,GARE_LOW,LOW,18,1906,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pie00672qzy6eido8zl,9357974C6E,POC CAMPANIA 2014-2020. PIANO STRATEGICO PER LA CULTURA E I BENI CULTURALI 2022 - D.G.R.C. N. 566/2021. PROGRAMMA DELLE MANIFESTAZIONI ESTIVE -AVELLINO SUMMER F,ALESSI EVENTS S.R.L.,Campania,COMUNE DI AVELLINO,,44650,FORNITURE,GARE_LOW,LOW,18,4465,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64phm005t2qzy6lklh1rb,9386662686,FORNITURA TRASFORMATORE A MEDIA TENSIONE,ELETTROTECNICA MILITE SRL,Campania,SALERNO PULITA - S.P.A.,,28128.26,FORNITURE,GARE_LOW,LOW,18,2813,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pg900572qzyizxbgafn,9401547205,LAVORI DI EFFICIENTAMENTO ENERGETICO E MANUTENZIONE STRAORDINARIA DELL'IMMOBILE COMUNALE SITO IN VIA ROMA,FISCHETTI,Campania,COMUNE DI CAIRANO,,39074.1,LAVORI,GARE_LOW,LOW,18,3907,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64ph7005m2qzyidnq8ift,937979862C,"LAVORI DI MESSA IN SICUREZZA ED ABBATTIMENTO BARRIERE ARCHITETTONICHE NEL CIMITERO COMUNALE. CONTRIBUTI PER INTERVENTI DI EFFICIENTAMENTO ENERGETICO, SVILUPPO T",CIMDEL DI CIMINO E D'ELIA SNC,Campania,COMUNE DI TEGGIANO,,32736.5,LAVORI,GARE_LOW,LOW,18,3274,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64p63000k2qzy0wuvkedh,9408285A62,GARA 492/ACU/2022 SERVIZIO RACCOLTA CARTONI,VELIA AMBIENTE S.R.L.,Campania,AZIENDA SERVIZI IGIENE AMBIENTALE - NAPOLI S.P.A. IN FORMA ABBREV IATA A.S.I.A.-NAPOLI S.P.A.,,2915384.4,SERVIZI,GARE_MEDIUM,MEDIUM,54,291538,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,data_assente_recency_zero,,,,,,,,,
cmqi64p65000l2qzyvu2qg0jr,98784090FE,ADESIONE AQ 2533 - LOTTO 1 - TOMOGRAFO A RISONANZA MAGNETICA PER LE ESIGENZE DELL'AORN CASERTA - FONDI PNRR,PHILIPS S.P.A.,Campania,AZIENDA OSPEDALIERA SANT'ANNA E SAN SEBASTIANO,,826560,NON_CLASSIFICATO,GARE_MEDIUM,LOW,48,82656,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,data_assente_recency_zero,,,,,,,,,
cmqtf1vio002ykpvxekskfm9a,98386441E0,AFFIDAMENTO LAVORI - RIORDINO E POTENZIAMENTO DELLA RETE DEI CANALI ARTIFICIALI DEL COMUNE DI FORINO,VIVENZIO COSTRUZIONI SRL,Campania,COMUNE DI FORINO,,539526.22,LAVORI,GARE_MEDIUM,LOW,48,53953,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,snapshot_reclassified,,,,,,,,,
cmqi64p8m001m2qzyk2v53xl3,9340407BAF,COMPRENSORIO DEPURATIVO FOCE SARNO INT 72I6 - OPERE DI COMPLETAMENTO DELLA RETE FOGNARIA DEL COMUNE DI GRAGNANO COMPRENSIVO DEL COMPLETAMENTO,SITE S.R.L.,Campania,GORI S.P.A.,,7069184.34,NON_CLASSIFICATO,GARE_MEDIUM,MEDIUM,54,706918,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,data_assente_recency_zero,,,,,,,,,
cmqi64p5m000c2qzy1bohvsfr,9381923FC4,CIRCUITI RESPIRATORI ADULTI CON RACCOGLITORI DI CONDENSA,SVAS BIOSANA SPA,Campania,IST.NAZ. TUMORI G. PASCALE,,534600,NON_CLASSIFICATO,GARE_MEDIUM,LOW,48,53460,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,data_assente_recency_zero,,,,,,,,,
cmqi64pjm006n2qzy4puo5549,932483379E,MANUTENZIONE STRAORDINARIASU VIA PROV.LE CARDITO E REALIZZAZIONE SENSO ROTATORIOINCROCIO VIA A. MORO E VIA PROV.LE CRDITO,DCM COSTRUZIONI S.R.L.,Campania,COMUNE DI CRISPANO,,46200.85,NON_CLASSIFICATO,GARE_LOW,LOW,18,4620,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pgu005g2qzy50sx84j8,9362237A5F,AFFIDAMENTO DEL SERVIZIO DI GESTIONE DELLE ATTIVITÀ DI FACILITAZIONE DEI PROCESSI DECISIONALI COLLABORATIVI DA ATTIVARSI NELL'AMBITO DEI PROGETTI DENOMINATI OPI,SOCIETÀ COOPERATIVA LA SCUOLA OPEN SOURCE,Campania,COMUNE DI NAPOLI,,46550,SERVIZI,GARE_HIGH,LOW,38,4655,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,importo_basso;contatti_mancanti;data_assente_recency_zero,,,,,,,,,
