id,CIG,oggetto,vincitore,regione,stazione_appaltante,data,importo,contract_type,category,tier,score,cauzione,cauzione_tipo,insurance_need_status,origin,region_match_via,motivazione,reviewer,reviewed_at,winner_correct,award_status_correct,amount_correct,commercial_value_real,false_positive,false_negative,notes
ingest-veneto-A04B4D5316,A04B4D5316,"RINNOVO SERVIZIO DI ELABORAZIONE DELLE PROVE, SOMMINISTRAZIONE E ASSISTENZA AI TEST PER CORSI DI LAUREA E LAUREA MAGISTRALE",SELEXI S.R.L.,Veneto,UNIVERSITA CA FOSCARI VENEZIA,2024-01-29T12:00:00.000Z,350740,SERVIZI,GARE_LOW,LOW,29,35074,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,"Aggiudicazione ANAC 2024 · CIG A04B4D5316 · Data aggiudicazione: 2024-01-29 · RINNOVO SERVIZIO DI ELABORAZIONE DELLE PROVE, SOMMINISTRAZIONE E ASSISTENZA AI TEST PER CORSI DI LAUREA E LAUREA MAGISTRAL",,,,,,,,,
ingest-veneto-88988825BC,88988825BC,SERVIZI TRADUZIONE SIMULTANEA COMPLETA DI IMPIANTI 78. MOSTRA INT.LE D'ARTE CINEMATOGRAFICA E SERVIZI AGGIUNTIVI,ENDAR CENTRO INTERNAZIONALE SERVIZI TECNICI CONGRESSUALI SNC,Veneto,FONDAZIONE LA BIENNALE DI VENEZIA,2021-09-15T12:00:00.000Z,162000,SERVIZI,GARE_LOW,LOW,23,16200,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2023 · CIG 88988825BC · Data aggiudicazione: 2021-09-15 · SERVIZI TRADUZIONE SIMULTANEA COMPLETA DI IMPIANTI 78. MOSTRA INT.LE D'ARTE CINEMATOGRAFICA E SERVIZI AGGIUNTIVI · Stazion,,,,,,,,,
ingest-veneto-9841918FA6,9841918FA6,FOPIPING23 - AFFIDAMENTO DELLA FORNITURA E POSA NUOVO PIPING DELL’IMPIANTO DI SOLLEVAMENTO FOGNARIO “8M” SITO IN VIA GIOVANNI DUCA (VR) – IM03091001,TEC.AM SRL,Veneto,ACQUE VERONESI S.C.A R.L.,2024-01-19T12:00:00.000Z,164058.1,FORNITURE,GARE_LOW,LOW,23,16406,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 9841918FA6 · Data aggiudicazione: 2024-01-19 · FOPIPING23 - AFFIDAMENTO DELLA FORNITURA E POSA NUOVO PIPING DELL’IMPIANTO DI SOLLEVAMENTO FOGNARIO “8M” SITO IN VIA GIOVA,,,,,,,,,
ingest-veneto-A04EFAE31E,A04EFAE31E,FORNITURA GAS NATURALE EDIFICI DI PROPRIETA' COMUNALE CON DECORRENZA DAL 01/04/2024 E PER LA DURATA DI 12 MESI,DOLOMITI ENERGIA SOCIETA' PER AZIONI,Veneto,COMUNE DI BRENDOLA,2024-04-12T12:00:00.000Z,10164,FORNITURE,GARE_LOW,LOW,18,1016,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG A04EFAE31E · Data aggiudicazione: 2024-04-12 · FORNITURA GAS NATURALE EDIFICI DI PROPRIETA' COMUNALE CON DECORRENZA DAL 01/04/2024 E PER LA DURATA DI 12 MESI · Stazione ,,,,,,,,,
ingest-veneto-97898328EE,97898328EE,G23-F4209 PNRR FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA ACEGASAPSAMGA - LOTTO 2 APPALTO FINANZIATO DAL P,B.M. TECNOLOGIE INDUSTRIALI S.R.L.,Veneto,ACQUE VICENTINE S.P.A.,2024-01-17T12:00:00.000Z,1144000,FORNITURE,GARE_MEDIUM,LOW,47,114400,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 97898328EE · Data aggiudicazione: 2024-01-17 · G23-F4209 PNRR FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA ACEGASAPSA,,,,,,,,,
ingest-veneto-9786127778,9786127778,G23-F4209 FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA ACQUEVENETE - LOTTO 1 APPALTO FINANZIATO DAL PNRR M2C,B.M. TECNOLOGIE INDUSTRIALI S.R.L.,Veneto,ACQUE VICENTINE S.P.A.,2024-01-17T12:00:00.000Z,1801800,FORNITURE,GARE_MEDIUM,LOW,47,180180,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 9786127778 · Data aggiudicazione: 2024-01-17 · G23-F4209 FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA ACQUEVENETE - L,,,,,,,,,
ingest-veneto-9789843204,9789843204,G23-F4209 FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA VIACQUA - LOTTO 3 APPALTO FINANZIATO DAL PNRR M2C4-I4,B.M. TECNOLOGIE INDUSTRIALI S.R.L.,Veneto,ACQUE VICENTINE S.P.A.,2024-01-17T12:00:00.000Z,903500,FORNITURE,GARE_MEDIUM,LOW,41,90350,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 9789843204 · Data aggiudicazione: 2024-01-17 · G23-F4209 FORNITURA E INSTALLAZIONE DI SISTEMI DI MISURA QUALI-QUANTITATIVI PER LE RETI IDRICHE GESTITE DA VIACQUA - LOTTO,,,,,,,,,
ingest-veneto-97904105EA,97904105EA,DEFLUSSORE STANDARD PER INFUSIONE VENOSA AD UNA VIA,CHEMIL S.R.L.,Veneto,AZIENDA UNITA' LOCALE SOCIO-SANITARIA N. 8 BERICA,2024-01-11T12:00:00.000Z,82680,NON_CLASSIFICATO,GARE_LOW,LOW,23,8268,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 97904105EA · Data aggiudicazione: 2024-01-11 · DEFLUSSORE STANDARD PER INFUSIONE VENOSA AD UNA VIA · Stazione appaltante: AZIENDA UNITA' LOCALE SOCIO-SANITARIA N. 8 BERI,,,,,,,,,
ingest-veneto-9830470878,9830470878,P.N.R.R. AVVISO MISURA 1.3.1 PIATTAFORMA DIGITALE NAZIONALE DATI,BOXXAPPS S.R.L,Veneto,CENTRALE UNICA DI COMMITTENZA COMUNE DI VILLAFRANCA DI VERONA E COMUNE DI MOZZECANE,2025-05-26T12:00:00.000Z,16675,NON_CLASSIFICATO,GARE_LOW,LOW,18,1668,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2025 · CIG 9830470878 · Data aggiudicazione: 2025-05-26 · P.N.R.R. AVVISO MISURA 1.3.1 PIATTAFORMA DIGITALE NAZIONALE DATI · Stazione appaltante: CENTRALE UNICA DI COMMITTENZA COMU,,,,,,,,,
ingest-veneto-9814135069,9814135069,"BS 243-23MS SERVIZIO DI NOLEGGIO CASSONI CENTINATI, RITIRO, TRASPORTO E SMALTIMENTO FANGHI DA DEPURAZIONE PALABILI JESOLO (VE). LOTTO 6",SEPRO SRL,Veneto,VENEZIANA ENERGIA RISORSE IDRICHE TERRITORIO AMBIENTE SERVIZI SPA,2024-05-03T12:00:00.000Z,587450,NON_CLASSIFICATO,GARE_MEDIUM,LOW,41,58745,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,"Aggiudicazione ANAC 2025 · CIG 9814135069 · Data aggiudicazione: 2024-05-03 · BS 243-23MS SERVIZIO DI NOLEGGIO CASSONI CENTINATI, RITIRO, TRASPORTO E SMALTIMENTO FANGHI DA DEPURAZIONE PALABILI JESOLO ",,,,,,,,,
ingest-veneto-9790422FCE,9790422FCE,DEFLUSSORE STANDARD PER INFUSIONE VENOSA CON PUNTO D'INIEZIONE AD Y,F.A.S.E. SRL,Veneto,AZIENDA UNITA' LOCALE SOCIO-SANITARIA N. 8 BERICA,2024-01-11T12:00:00.000Z,60000,NON_CLASSIFICATO,GARE_LOW,LOW,18,6000,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 9790422FCE · Data aggiudicazione: 2024-01-11 · DEFLUSSORE STANDARD PER INFUSIONE VENOSA CON PUNTO D'INIEZIONE AD Y · Stazione appaltante: AZIENDA UNITA' LOCALE SOCIO-SAN,,,,,,,,,
ingest-veneto-9035054A6B,9035054A6B,LOTTO 26,BOSTON SCIENTIFIC SPA,Veneto,AZIENDA ZERO,2024-06-20T12:00:00.000Z,265518,NON_CLASSIFICATO,GARE_LOW,LOW,29,26552,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 9035054A6B · Data aggiudicazione: 2024-06-20 · LOTTO 26 · Stazione appaltante: AZIENDA ZERO · Importo €265518 · [CONTRACT_TYPE:NON_CLASSIFICATO] · [ORIGIN:OFFICIAL_SHADO,,,,,,,,,
ingest-veneto-90925712F5,90925712F5,REALIZZAZIONE DEGLI SPOGLIATOI DEL CAMPO DA CALCIO COMUNALE IN VIA DON G. VIGOLO,COSBRENTA SRL,Veneto,COMUNE DI COLCERESA,2024-03-15T12:00:00.000Z,171242.6,NON_CLASSIFICATO,GARE_MEDIUM,LOW,35,17124,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 90925712F5 · Data aggiudicazione: 2024-03-15 · REALIZZAZIONE DEGLI SPOGLIATOI DEL CAMPO DA CALCIO COMUNALE IN VIA DON G. VIGOLO · Stazione appaltante: COMUNE DI COLCERES,,,,,,,,,
ingest-veneto-A04D062F64,A04D062F64,SECONDA MODIFICA DEL VS CONTRATTO REP. N. 91/2022 SERVIZI TECNICI NELL'AMBITO DEI 'LAVORI DI MESSA IN SICUREZZA DELLE STRUTTURE PORTANTI DEL CHIOSTRO DELL'ISTIT,STUDIO MODENA INGEGNERIA SRL SOCIETA' DI INGEGNERIA,Veneto,PROVINCIA DI VERONA,2024-02-02T12:00:00.000Z,11726.76,MISTO,GARE_LOW,LOW,18,1173,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG A04D062F64 · Data aggiudicazione: 2024-02-02 · SECONDA MODIFICA DEL VS CONTRATTO REP. N. 91/2022 SERVIZI TECNICI NELL'AMBITO DEI 'LAVORI DI MESSA IN SICUREZZA DELLE STRU,,,,,,,,,
ingest-veneto-8876260977,8876260977,REALIZZAZIONE DI UNA ROTATORIA IN CORRISPONDENZA DELL'INTERSEZIONE TRA SR249 E VIA PRALESI IN LOC.CISANO DI BARDOLINO,CONSORZIO CORMA,Veneto,CUC CUSTOZA GARDA TIONE,,248965.86,NON_CLASSIFICATO,GARE_MEDIUM,LOW,35,24897,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2023 · CIG 8876260977 · REALIZZAZIONE DI UNA ROTATORIA IN CORRISPONDENZA DELL'INTERSEZIONE TRA SR249 E VIA PRALESI IN LOC.CISANO DI BARDOLINO · Stazione appaltante: CUC CUSTOZA GAR,,,,,,,,,
